1 0 0 1 
9 2 2 9 
5 8 5 8 
9 10 9 10 
15 2 2 15 
7 11 7 11 
6 14 6 14 
6 11 6 11 
9 5 5 9 
6 4 4 6 
13 7 7 13 
4 3 3 4 
3 5 3 5 
15 6 6 15 
1 4 1 4 
12 7 7 12 
12 4 4 12 
12 5 5 12 
12 9 9 12 
7 9 7 9 
5 15 5 15 
0 5 0 5 
12 3 3 12 
5 4 4 5 
9 0 0 9 
13 2 2 13 
10 8 8 10 
6 12 6 12 
3 1 1 3 
12 2 2 12 
0 9 0 9 
4 11 4 11 
2 9 2 9 
3 13 3 13 
2 3 2 3 
4 13 4 13 
1 5 1 5 
3 0 0 3 
8 4 4 8 
7 5 5 7 
6 11 6 11 
4 11 4 11 
7 11 7 11 
13 10 10 13 
13 14 13 14 
12 13 12 13 
15 6 6 15 
7 10 7 10 
14 5 5 14 
7 3 3 7 
14 2 2 14 
14 8 8 14 
13 12 12 13 
9 12 9 12 
11 11 11 11 
8 7 7 8 
0 7 0 7 
13 12 12 13 
3 8 3 8 
13 4 4 13 
15 0 0 15 
9 10 9 10 
4 10 4 10 
8 13 8 13 
1 2 1 2 
5 4 4 5 
1 12 1 12 
0 11 0 11 
15 8 8 15 
0 13 0 13 
7 5 5 7 
5 11 5 11 
9 0 0 9 
4 15 4 15 
13 6 6 13 
10 4 4 10 
3 9 3 9 
12 3 3 12 
1 8 1 8 
10 11 10 11 
4 5 4 5 
1 9 1 9 
13 9 9 13 
3 12 3 12 
8 15 8 15 
12 12 12 12 
6 3 3 6 
0 1 0 1 
8 0 0 8 
10 1 1 10 
14 12 12 14 
9 6 6 9 
10 8 8 10 
4 14 4 14 
7 6 6 7 
2 8 2 8 
2 4 2 4 
14 3 3 14 
8 3 3 8 
7 0 0 7 
