5 13 2 12 2 5
4 13 13 11 2 11
15 12 4 0 13 12
10 0 2 11 9 9
1 3 3 12 14 3
6 0 11 15 5 6
5 3 11 4 1 4
3 3 9 0 4 3
5 0 9 5 4 5
12 14 3 8 6 8
6 12 3 9 7 7
10 3 4 4 1 4
3 15 9 0 9 9
4 15 2 11 4 4
1 5 14 10 10 10
5 8 15 12 0 8
4 9 7 0 8 7
10 7 4 11 3 7
4 15 11 12 4 11
12 10 2 15 5 10
9 12 10 13 12 12
1 14 12 11 4 11
0 1 13 2 1 1
15 9 13 11 2 11
2 2 1 8 1 2
11 10 12 11 9 11
0 6 14 9 7 7
14 7 2 15 7 7
13 12 12 6 0 12
7 14 13 13 13 13
12 13 14 10 1 12
7 3 0 6 12 6
12 4 8 15 9 9
2 11 5 14 8 8
15 6 6 10 9 9
9 13 6 13 10 10
11 13 4 10 8 10
11 12 7 8 6 8
12 12 8 6 7 8
13 9 9 11 6 9
11 4 1 2 13 4
2 0 2 7 15 2
11 1 14 0 14 11
7 4 15 0 15 7
2 5 2 8 3 3
13 4 10 3 1 4
12 15 4 12 4 12
1 0 14 10 5 5
6 14 8 0 0 6
2 10 2 0 14 2
12 9 9 1 9 9
0 13 9 11 4 9
11 9 4 2 3 4
10 11 7 8 12 10
9 4 6 12 4 6
1 3 12 9 0 3
15 8 1 2 0 2
1 3 2 3 10 3
9 3 13 2 9 9
2 6 2 10 10 6
7 3 1 4 3 3
15 11 13 12 11 12
13 11 10 7 8 10
11 8 5 13 0 8
8 5 5 7 14 7
1 10 8 2 4 4
14 3 8 0 14 8
8 14 0 12 11 11
2 8 5 11 12 8
6 5 15 4 13 6
1 12 0 11 7 7
0 3 5 9 15 5
13 0 1 6 13 6
7 0 11 15 11 11
10 2 8 15 0 8
2 1 2 14 15 2
12 1 3 2 0 2
6 1 10 1 10 6
1 13 3 14 5 5
15 9 3 15 4 9
7 12 11 1 0 7
5 6 10 9 13 9
7 14 1 14 5 7
11 11 7 6 6 7
14 6 13 10 7 10
13 12 15 1 11 12
2 0 3 0 7 2
15 13 4 1 7 7
6 2 7 7 1 6
2 5 10 15 11 10
0 9 2 3 11 3
10 10 11 12 1 10
0 9 6 4 4 4
5 12 8 12 14 12
0 12 7 2 4 4
14 3 3 12 9 9
8 12 1 11 14 11
14 0 0 5 15 5
15 7 12 4 11 11
14 4 13 14 15 14
